Class,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59
1,0.13743226,0.047345862,0.003884342,0.064054705,0.005603776,0.057865072,0.006826003,0.066539861,0.004377156,0.023902357,0.027293574,0.034848366,0.040180385,0.038403455,0.032069705,0.027381836,0.024180688,0.10233092,0.055899628,0.15446931,0.083950974,0.1381451,0.056497097,0.11419759,0.045794703,0.12738325,0.18263341,0.25415763,0.22485074,0.16674112,0.16907454,0.17265625,0.17501211,0.13725829,0.096621178,0.22555313,0.083650284,0.14065543,0.075975172,0.14371347,0.059433881,0.05882721,0.067777246,0.06121077,0.057795275,0.050677247,0.044856757,0.041716293,0.045388941,0.049277488,0.044324052,0.05166151,0.044411436,0.038014036,0.031051397,0.040437292,0.043495655,0.43341586,0.4829933
1,0.16719401,0.052192539,0.006155718,0.06302017,0.004702729,0.064185187,0.006251245,0.068222485,0.006691192,0.022656539,0.024078514,0.030082146,0.03854996,0.039263085,0.033148721,0.038984701,0.036670256,0.098103851,0.04920641,0.14653331,0.065396145,0.14818411,0.058976632,0.12837052,0.062507436,0.10888333,0.18951066,0.2022935,0.20092559,0.15818606,0.20534754,0.17492439,0.22363651,0.11470167,0.091835625,0.16644238,0.080467656,0.132983,0.086004578,0.16206649,0.055529192,0.049628716,0.050772026,0.065805182,0.059614804,0.053637452,0.047633156,0.044545036,0.042915192,0.040580176,0.053803924,0.048034821,0.045961108,0.041418761,0.048084822,0.035603605,0.045597471,0.39066711,0.53470397
1,0.14071666,0.073584266,0.003950827,0.040692534,0.004890315,0.066659607,0.004933741,0.048451763,0.004582156,0.026244989,0.029169183,0.030048501,0.030352946,0.033800244,0.029941954,0.036731448,0.037194472,0.1148883,0.085922524,0.12776306,0.058733582,0.13227047,0.087755188,0.14098614,0.050593458,0.24419637,0.26808327,0.13485633,0.195447,0.29093897,0.24894981,0.22382176,0.15572123,0.17640534,0.082725547,0.12902398,0.083604276,0.20742112,0.097926624,0.12574926,0.061499495,0.040333685,0.048028756,0.054258958,0.049768403,0.049812328,0.052123703,0.039158657,0.046652947,0.029039305,0.06385906,0.036911294,0.03851359,0.037990376,0.063769937,0.029541515,0.033604383,0.30365196,0.44913492
1,0.083199397,0.039959725,0.002851948,0.032351878,0.003313663,0.040731449,0.004139653,0.034788061,0.002296495,0.024192771,0.016959134,0.018798105,0.029199891,0.027905783,0.024354521,0.022963805,0.028946253,0.12242308,0.069983333,0.13955534,0.058858287,0.14698915,0.081666291,0.14678141,0.05154635,0.27243903,0.31725666,0.20061044,0.26083547,0.30732152,0.29226756,0.24085696,0.18903174,0.19902265,0.096533671,0.16892283,0.10060908,0.21423383,0.10071911,0.13747586,0.071833022,0.045367714,0.046210591,0.052715957,0.040565927,0.03758708,0.047081884,0.037477158,0.044274576,0.029481133,0.039949451,0.030664608,0.029975725,0.025878673,0.044703618,0.027012004,0.02378449,0.21678406,0.30344361
1,0.1555236,0.061167225,0.004925477,0.045525409,0.004038133,0.065026425,0.004279377,0.049629472,0.006715789,0.029513307,0.031851262,0.028525453,0.033797964,0.042503912,0.039511144,0.036494672,0.02826187,0.11728107,0.076255322,0.1378933,0.076559775,0.14528464,0.083366722,0.14689617,0.052505001,0.23004617,0.25911751,0.1861348,0.20551722,0.24988893,0.24304844,0.21490043,0.15988299,0.18540743,0.091925018,0.15712288,0.092681326,0.18363217,0.10791033,0.1259077,0.060118951,0.049091037,0.049004901,0.056218736,0.063683413,0.053504191,0.04008092,0.040856451,0.049053989,0.026906649,0.062579602,0.041659743,0.044553395,0.034419525,0.049436666,0.028744251,0.037443154,0.29362926,0.4526279
1,0.13873063,0.060684301,0.007138288,0.047180492,0.005632346,0.068271883,0.005832898,0.049897738,0.005838854,0.026572486,0.029829578,0.029709535,0.036766186,0.035767362,0.031896461,0.034114603,0.034978706,0.11432233,0.087586835,0.12438525,0.068683803,0.14808853,0.073204085,0.14586708,0.052253637,0.2669239,0.25261238,0.19052784,0.2012635,0.27737781,0.23256546,0.20054016,0.16523996,0.19697988,0.088847496,0.16311479,0.089349195,0.17575479,0.09374699,0.12566724,0.072007403,0.050836865,0.053156916,0.061130881,0.052285563,0.046535216,0.047262743,0.041716184,0.046623342,0.033299062,0.066353656,0.038028568,0.045212809,0.028796852,0.058411822,0.032924574,0.035886899,0.29613209,0.43697128
1,0.098192394,0.03987008,0.004607907,0.03278264,0.003965743,0.048831414,0.006980718,0.038719788,0.003093608,0.02958945,0.029781662,0.022149121,0.02406585,0.033967093,0.031510491,0.027629908,0.032832686,0.1164162,0.073675267,0.13672175,0.072459958,0.13659236,0.076292962,0.13808303,0.049540482,0.27483541,0.28196162,0.22451293,0.22228996,0.2882269,0.28469792,0.24186009,0.17225549,0.20414089,0.084788479,0.18567809,0.10117818,0.19830807,0.098930784,0.14066944,0.066404827,0.046473958,0.049039114,0.058207635,0.058998585,0.043926693,0.04720806,0.044088155,0.044348672,0.033373471,0.041412801,0.045372166,0.029812077,0.027915584,0.035792872,0.035545826,0.023827676,0.24254662,0.35487148
1,0.14221507,0.055403762,0.005142099,0.04864721,0.006037665,0.059497669,0.00591962,0.046850599,0.006443293,0.028468447,0.02956786,0.024209984,0.034532987,0.041410081,0.039291073,0.036958925,0.031475332,0.11403313,0.079200335,0.13070382,0.068832025,0.1439513,0.085698269,0.14308338,0.048472296,0.26353347,0.24215563,0.19913001,0.2054604,0.29529163,0.25593048,0.21452779,0.16638564,0.16716662,0.081982084,0.15790817,0.08807876,0.19141947,0.095238693,0.10505537,0.070642985,0.04514344,0.047834702,0.05017123,0.058885999,0.050160799,0.046157915,0.036355458,0.042163026,0.032485273,0.065922759,0.03994786,0.043309662,0.029212641,0.058247447,0.03039263,0.035094317,0.29864588,0.42358226
1,0.13986512,0.056967791,0.00473448,0.04224113,0.004951944,0.058444981,0.005011287,0.052268017,0.007321412,0.032018673,0.024313573,0.031000845,0.031432435,0.044461746,0.036846396,0.037545644,0.028534561,0.11883789,0.075303443,0.13020465,0.06552618,0.14331527,0.082892232,0.13982776,0.045253716,0.25967655,0.2480042,0.18361145,0.20452447,0.29707295,0.25553524,0.20230727,0.17028816,0.1680788,0.087440632,0.1457895,0.094103627,0.18059821,0.099659704,0.10369246,0.068834715,0.045139406,0.049561467,0.049501631,0.052541908,0.051156268,0.040629745,0.040133201,0.041228317,0.032453526,0.060405534,0.037158608,0.04227104,0.035517186,0.059058584,0.029736707,0.040760562,0.2985509,0.44314495
1,0.11650651,0.058288999,0.003651672,0.037129607,0.005205851,0.065421149,0.003951182,0.049429614,0.005036514,0.024656968,0.023878198,0.02980894,0.034359854,0.035968859,0.034116674,0.036803368,0.038058575,0.11835166,0.077095926,0.15330589,0.070408493,0.14878759,0.073045239,0.15001445,0.050408371,0.2507844,0.26983798,0.18928161,0.23814118,0.28087789,0.24424626,0.22503993,0.17278406,0.20069914,0.097660393,0.17071453,0.096675813,0.17763697,0.10298282,0.11998054,0.073198952,0.044590998,0.052584715,0.053020801,0.044728413,0.049204998,0.051174589,0.041556831,0.038714401,0.035524614,0.060332123,0.032864965,0.043269075,0.03329825,0.050366871,0.023099324,0.031082034,0.28038412,0.39805838
